name,code,1995-01,1995-02,1995-03,1995-04,1995-05,1995-06,1995-07,1995-08,1995-09,1995-10,1995-11,1995-12,1995-01,1995-02,1995-03,1995-04,1995-05,1995-06,1995-07,1995-08,1995-09,1995-10,1995-11,1995-12,Feels Like Jan,Feb Feels,Mar Feels,Apr Feels,May Feels,Jun Feels,Jul Feels,Aug Feels,Sep Feels,Oct Feels,Nov Feels,Dec Feels
Bouvet Island (Nor.),BVT,0.81,1.23,1.16,0.76,-0.18,-1.11,-2.08,-2.77,-3.36,-1.82,-0.8,0.13,88.16,87.7,85.96,84.82,81.32,79.07,78.79,79.21,79.59,83.04,85.44,88,25.9028,26.171,25.5268,24.7506,22.6556,20.9831,19.9207,19.3693,18.9047,21.5832,23.3952,25.17
Brazil,BRA,25.35,25.31,25.16,24.83,23.97,23.56,23.6,24.74,25.67,26.05,25.68,25.58,81.57,81.75,82.65,81.82,79.5,75.38,70.47,65.42,67.02,72.05,77.14,79.69,48.2681,48.2875,48.4345,47.8306,46.205,44.4354,42.8551,42.3286,43.7866,45.8265,47.1362,47.8777
British Indian Ocean Territory (U.K.),IOT,26.49,26.8,27.1,27.29,27.05,26.46,26.07,25.93,26.04,26.31,26.53,26.52,83.1,82.13,81.52,81.11,80.83,81.56,81.33,81.54,82.28,82.23,82.06,82.62,49.913,49.9029,50.0016,50.0563,49.7239,49.3748,48.9089,48.8382,49.1924,49.4459,49.6098,49.7846
British Virgin Islands (U.K.),VGB,24.95,24.69,24.71,25.25,26.11,26.97,27.19,27.43,27.45,27.15,26.41,25.61,77.24,76.12,75.75,78.22,80.72,80.89,81.52,81.83,81.6,81.07,79.48,77.56,46.4392,45.8096,45.7075,47.0626,48.7476,49.6637,50.0916,50.4339,50.378,49.9031,48.6384,47.2048
Brunei Darussalam,BRN,25.66,25.79,26.23,26.59,26.87,26.66,26.49,26.51,26.4,26.08,26,25.89,87.17,86.62,85.46,85.66,84.9,84.39,84.03,83.83,84.39,86.28,87.06,87.41,50.4261,50.3746,50.4318,50.8578,50.887,50.5087,50.2199,50.1739,50.2487,50.5524,50.7298,50.7353
Bulgaria,BGR,0.08,1.92,5.78,10.75,16.03,19.97,22.25,22.04,17.02,11.8,6.64,1.45,82.64,76.97,70.6,69.09,70.12,68.73,64.93,64.56,69.84,76.13,80.84,83.66,23.3512,23.3201,25.078,29.5497,35.1696,38.6509,39.6769,39.3448,36.0672,32.9229,29.3172,25.0578
Burkina Faso,BFA,25.45,28.19,31.41,32.75,32.01,29.85,27.63,26.47,27.16,28.95,28.06,25.87,21.62,19.23,21.99,37.73,50.65,61.73,72.6,79.76,76.89,60.33,34.87,25.57,28.5846,30.5359,34.6667,41.2009,44.7245,46.2209,47.588,48.7908,48.5337,44.8589,35.5671,30.3081
Burundi,BDI,20.24,20.55,20.27,19.84,20.05,19.97,20.16,21.15,21.63,21.08,19.99,19.9,76.11,74.1,77.54,79.61,72.67,62.12,54.3,52.57,56.81,66.05,76.42,77.32,41.3563,41.003,41.8582,42.1113,40.0311,36.4696,34.079,34.4981,36.3773,38.8765,41.2086,41.4156
Cabo Verde,CPV,21.52,21.04,21.14,21.47,22.12,22.87,24.03,25.39,25.9,25.62,24.51,22.93,73.2,75.22,76.45,78.02,79.78,81.44,81.36,81.86,82.44,79.99,76.98,74.99,41.676,41.8626,42.3685,43.2166,44.4474,45.7452,46.8788,48.4038,49.1052,48.0167,45.9134,43.6767
Cambodia,KHM,26.27,27.81,29.11,29.17,28.42,27.85,27.24,27.12,26.73,26.67,26.42,25.65,61.06,60.08,62.79,71.55,79.15,81.61,83.29,84.16,86.07,83.53,76.01,66.71,42.4198,43.6364,45.8307,48.7815,50.5395,50.7813,50.7257,50.8928,51.1331,50.2349,47.5033,43.6643
Cameroon,CMR,24.59,25.93,26.64,26.11,25.15,24.03,23.19,22.97,23.24,23.69,24.19,24.11,52.7,52.01,58.87,71.61,78.59,82.09,83.88,85.03,85.11,82.49,70.81,59.51,37.981,39.0933,42.0671,45.7413,47.0847,47.1197,46.8704,47.0299,47.3263,46.9117,43.5573,39.7483
Canada,CAN,-21.1,-19.12,-14.55,-5.5,2.61,10.1,13.76,12.11,6.57,-1.37,-10.6,-17.53,75.54,74.25,71.91,70.59,70.29,70.29,71.08,74.29,77.33,80.81,81.13,78.78,-0.1718,1.3825,5.1803,13.7947,21.8057,29.2957,33.2164,32.6257,28.0889,21.2973,12.1729,4.4674
Cayman Islands (U.K.),CYM,25.09,25.14,25.27,26.09,26.92,27.69,28.18,28.34,28.08,27.4,26.55,25.77,75.85,76.03,76.21,77.65,79.99,81.84,80.07,79.9,80.47,81.16,77.45,76.87,46.1205,46.2299,46.4193,47.7145,49.3167,50.6972,50.6031,50.707,50.6351,50.1828,48.1085,47.1371
CAR,CAF,26.14,27.77,28.24,27.51,26.31,25.04,24.19,23.95,24.22,24.56,25.3,25.55,36.9,38.75,50.71,65.94,74.78,79.69,82.38,83.79,83.11,80.76,64.92,45.81,34.317,36.5575,40.9743,45.2702,46.9874,47.3377,47.3754,47.6007,47.6463,47.2108,42.7236,36.6673
Chad,TCD,20.47,23.37,26.83,30.65,31.79,31.38,29.79,28.87,29.12,27.81,24.24,21.04,23.45,18.67,15.88,19.19,26.18,34.28,47.47,55.74,46.66,36.71,27.71,25.69,24.2085,25.5311,28.0704,32.9827,36.4294,38.6924,41.4551,43.2642,40.5178,35.9243,29.3843,25.5177
Chile,CHL,13.18,13.07,11.78,9.48,6.94,4.81,4.21,5.37,6.88,8.81,10.42,12.18,64.81,65.84,66.22,65.04,64.88,64.59,63.81,62.89,62.41,61.35,61.08,61.91,30.5673,30.7972,29.6326,26.9432,24.3504,22.1247,21.2673,22.1237,23.4753,25.0555,26.5764,28.6103
Taiwan,TWN,14.24,15.25,17.36,20.15,22.53,24.18,24.99,24.67,23.76,21.62,18.97,15.44,80.87,81.53,80.16,80.78,81.47,81.94,80.84,82.37,81.66,80.97,81.21,80.69,36.9271,38.1549,39.8128,42.8074,45.4151,47.2202,47.6672,47.8521,46.7078,44.3401,41.7693,38.0677
China,CHN,-7.79,-4.09,1.71,8.39,13.76,18.01,20.09,18.99,14.61,7.81,0.03,-6.07,60.34,57.51,52.97,51.49,54.67,60.76,65.93,66.53,63.78,60.35,60.12,60.38,8.1222,10.8883,15.1901,21.3817,27.8011,34.0608,37.8469,36.9449,31.6574,23.7255,15.8696,9.8554
